epoch,train_loss,train_acc,val_loss,val_acc
1,0.001866,0.498978,0.000072,0.499976
2,0.000041,0.499696,0.000027,0.499982
3,0.000019,0.499700,0.000014,0.499987
4,0.000013,0.499702,0.000011,0.499987
5,0.000011,0.499703,0.000009,0.499988
6,0.000010,0.499703,0.000011,0.499984
7,0.000009,0.499704,0.000009,0.499988
8,0.000009,0.499703,0.000008,0.499988
9,0.000008,0.499704,0.000008,0.499988
10,0.000013,0.499699,0.000008,0.499987
11,0.000008,0.499704,0.000008,0.499988
12,0.000007,0.499705,0.000007,0.499990
13,0.000007,0.499705,0.000007,0.499990
14,0.000007,0.499705,0.000007,0.499989
15,0.000007,0.499705,0.000008,0.499988
16,0.000007,0.499705,0.000006,0.499990
17,0.000006,0.499706,0.000006,0.499990
18,0.000006,0.499706,0.000009,0.499987
19,0.000006,0.499707,0.000006,0.499990
20,0.000007,0.499706,0.000007,0.499988
21,0.000006,0.499707,0.000006,0.499990
22,0.000006,0.499707,0.000006,0.499991
23,0.000006,0.499707,0.000005,0.499991
24,0.000006,0.499707,0.000007,0.499988
25,0.000005,0.499708,0.000006,0.499991
26,0.000005,0.499708,0.000005,0.499991
27,0.000005,0.499708,0.000005,0.499991
28,0.000005,0.499708,0.000006,0.499990
29,0.000005,0.499708,0.000005,0.499992
30,0.000005,0.499709,0.000005,0.499991
31,0.000005,0.499708,0.000006,0.499991
32,0.000005,0.499708,0.000008,0.499988
33,0.000005,0.499709,0.000005,0.499991
34,0.000005,0.499708,0.000005,0.499992
35,0.000005,0.499709,0.000005,0.499992
36,0.000005,0.499709,0.000005,0.499991
37,0.000005,0.499709,0.000005,0.499993
38,0.000005,0.499709,0.000005,0.499992
39,0.000005,0.499709,0.000006,0.499990
40,0.000005,0.499709,0.000005,0.499992
41,0.000005,0.499709,0.000005,0.499992
42,0.000004,0.499709,0.000004,0.499993
43,0.000005,0.499709,0.000005,0.499992
44,0.000004,0.499709,0.000005,0.499992
45,0.000004,0.499709,0.000006,0.499991
46,0.000004,0.499710,0.000005,0.499992
47,0.000004,0.499709,0.000005,0.499992
48,0.000004,0.499709,0.000004,0.499993
49,0.000004,0.499710,0.000005,0.499993
50,0.000004,0.499710,0.000005,0.499992
