epoch,train_loss,val_loss,fused_loss,seg_loss,rec_loss
1,0.005135,0.000028,0.000817,0.003209,0.020018
2,0.000078,0.000022,0.000025,0.000066,0.000249
3,0.000041,0.000017,0.000021,0.000033,0.000109
4,0.000032,0.000021,0.000019,0.000025,0.000078
5,0.000026,0.000018,0.000016,0.000021,0.000062
6,0.000025,0.000017,0.000015,0.000019,0.000059
7,0.000022,0.000012,0.000014,0.000017,0.000052
8,0.000021,0.000012,0.000013,0.000016,0.000051
9,0.000020,0.000012,0.000013,0.000015,0.000048
10,0.000019,0.000012,0.000012,0.000014,0.000047
11,0.000018,0.000011,0.000011,0.000013,0.000044
12,0.000018,0.000011,0.000011,0.000013,0.000042
13,0.000017,0.000011,0.000011,0.000013,0.000042
14,0.000017,0.000012,0.000011,0.000013,0.000042
15,0.000016,0.000011,0.000010,0.000012,0.000039
16,0.000016,0.000010,0.000010,0.000012,0.000039
17,0.000016,0.000011,0.000010,0.000012,0.000039
18,0.000016,0.000009,0.000010,0.000011,0.000038
19,0.000016,0.000010,0.000010,0.000011,0.000038
20,0.000015,0.000010,0.000010,0.000011,0.000037
21,0.000016,0.000010,0.000010,0.000011,0.000038
22,0.000015,0.000009,0.000009,0.000011,0.000036
23,0.000015,0.000009,0.000009,0.000011,0.000035
24,0.000014,0.000016,0.000009,0.000010,0.000034
25,0.000014,0.000009,0.000008,0.000010,0.000033
26,0.000014,0.000010,0.000008,0.000010,0.000033
27,0.000013,0.000009,0.000008,0.000010,0.000032
28,0.000013,0.000010,0.000008,0.000010,0.000032
29,0.000014,0.000013,0.000008,0.000010,0.000033
30,0.000013,0.000010,0.000008,0.000010,0.000031
31,0.000013,0.000015,0.000008,0.000010,0.000031
32,0.000013,0.000009,0.000008,0.000010,0.000031
33,0.000012,0.000009,0.000008,0.000010,0.000030
34,0.000012,0.000009,0.000007,0.000009,0.000029
35,0.000012,0.000009,0.000007,0.000009,0.000028
36,0.000012,0.000008,0.000007,0.000009,0.000028
37,0.000012,0.000008,0.000007,0.000009,0.000028
38,0.000012,0.000009,0.000007,0.000009,0.000028
39,0.000012,0.000008,0.000007,0.000009,0.000028
40,0.000011,0.000009,0.000007,0.000009,0.000027
41,0.000012,0.000013,0.000007,0.000009,0.000028
42,0.000012,0.000008,0.000007,0.000009,0.000028
43,0.000011,0.000008,0.000007,0.000009,0.000027
44,0.000011,0.000018,0.000007,0.000009,0.000027
45,0.000011,0.000008,0.000007,0.000009,0.000027
46,0.000011,0.000009,0.000007,0.000009,0.000027
47,0.000011,0.000008,0.000007,0.000009,0.000026
48,0.000011,0.000008,0.000007,0.000009,0.000027
49,0.000010,0.000011,0.000006,0.000008,0.000025
50,0.000010,0.000008,0.000006,0.000008,0.000025
51,0.000010,0.000008,0.000006,0.000008,0.000024
52,0.000010,0.000008,0.000006,0.000008,0.000025
53,0.000010,0.000008,0.000006,0.000008,0.000024
54,0.000010,0.000009,0.000006,0.000008,0.000025
55,0.000010,0.000010,0.000006,0.000008,0.000023
56,0.000010,0.000009,0.000006,0.000008,0.000024
57,0.000010,0.000008,0.000006,0.000008,0.000023
58,0.000009,0.000011,0.000005,0.000008,0.000022
59,0.000010,0.000008,0.000006,0.000008,0.000023
60,0.000009,0.000009,0.000005,0.000008,0.000023
