epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.230823,0.184689,1.00,0.097976,0.100246,0.032600
1,0.088521,0.029688,1.00,0.021333,0.064667,0.002521
2,0.025324,0.020254,1.00,0.010401,0.013900,0.001022
3,0.020950,0.020199,1.00,0.009508,0.010820,0.000622
4,0.018986,0.018253,1.00,0.008863,0.009726,0.000397
5,0.018045,0.015911,1.00,0.008500,0.009278,0.000267
6,0.017469,0.015525,1.00,0.008296,0.008976,0.000198
7,0.016723,0.015583,1.00,0.007971,0.008610,0.000142
8,0.015985,0.016214,1.00,0.007641,0.008239,0.000105
9,0.015884,0.013974,1.00,0.007599,0.008204,0.000081
10,0.015587,0.013935,1.00,0.007458,0.008063,0.000066
11,0.015241,0.014313,1.00,0.007304,0.007886,0.000051
12,0.015096,0.013561,1.00,0.007247,0.007808,0.000041
13,0.014434,0.014689,1.00,0.006900,0.007500,0.000034
14,0.014248,0.013351,1.00,0.006826,0.007393,0.000029
15,0.014262,0.013118,1.00,0.006824,0.007413,0.000025
16,0.013809,0.012305,1.00,0.006620,0.007167,0.000022
17,0.013783,0.012757,1.00,0.006608,0.007154,0.000020
18,0.013484,0.012291,1.00,0.006473,0.006994,0.000017
19,0.013294,0.012468,1.00,0.006358,0.006920,0.000016
20,0.009452,0.009535,0.50,0.006118,0.006653,0.000015
21,0.009572,0.009077,0.50,0.006184,0.006757,0.000018
22,0.009512,0.009409,0.50,0.006137,0.006731,0.000018
23,0.009164,0.008817,0.50,0.005888,0.006533,0.000019
24,0.009067,0.009585,0.50,0.005827,0.006465,0.000015
25,0.009024,0.009274,0.50,0.005805,0.006422,0.000015
26,0.009059,0.008975,0.50,0.005833,0.006436,0.000015
27,0.008989,0.008587,0.50,0.005778,0.006406,0.000015
28,0.008858,0.008653,0.50,0.005697,0.006310,0.000014
29,0.008924,0.008944,0.50,0.005730,0.006375,0.000014
30,0.008770,0.008606,0.50,0.005631,0.006265,0.000014
31,0.008658,0.008635,0.50,0.005545,0.006212,0.000013
32,0.008609,0.008604,0.50,0.005519,0.006167,0.000012
33,0.008580,0.008198,0.50,0.005503,0.006143,0.000012
34,0.008508,0.008372,0.50,0.005447,0.006111,0.000012
35,0.008246,0.008530,0.50,0.005276,0.005928,0.000012
36,0.008171,0.008083,0.50,0.005229,0.005873,0.000013
37,0.008207,0.010146,0.50,0.005251,0.005902,0.000011
38,0.008162,0.008303,0.50,0.005217,0.005878,0.000011
39,0.008054,0.011409,0.50,0.005148,0.005800,0.000011
40,0.005063,0.005137,0.00,0.005063,0.005807,0.000014
41,0.004919,0.005219,0.00,0.004919,0.005822,0.000021
42,0.004914,0.005851,0.00,0.004914,0.006059,0.000030
43,0.004991,0.005248,0.00,0.004991,0.006556,0.000030
44,0.004948,0.005512,0.00,0.004948,0.006051,0.000030
45,0.004839,0.005157,0.00,0.004839,0.006156,0.000071
46,0.004881,0.006263,0.00,0.004881,0.006650,0.000047
47,0.004763,0.005456,0.00,0.004763,0.006156,0.000050
48,0.004845,0.005262,0.00,0.004845,0.006592,0.000074
49,0.004790,0.005224,0.00,0.004790,0.006287,0.000073
50,0.004676,0.005339,0.00,0.004676,0.006466,0.000055
51,0.004659,0.005326,0.00,0.004659,0.006725,0.000060
52,0.004701,0.005205,0.00,0.004701,0.008240,0.000060
53,0.004666,0.005430,0.00,0.004666,0.008564,0.000055
54,0.004531,0.005318,0.00,0.004531,0.007960,0.000080
55,0.004560,0.005592,0.00,0.004560,0.006871,0.000090
56,0.004423,0.005241,0.00,0.004423,0.006614,0.000066
57,0.004452,0.005698,0.00,0.004452,0.006796,0.000071
58,0.004421,0.005148,0.00,0.004421,0.008512,0.000062
59,0.004449,0.005270,0.00,0.004449,0.007958,0.000097
60,0.004456,0.005316,0.00,0.004456,0.007189,0.000186
61,0.004410,0.006085,0.00,0.004410,0.007525,0.000110
62,0.004265,0.005390,0.00,0.004265,0.017164,0.000091
63,0.004255,0.005825,0.00,0.004255,0.008828,0.000088
64,0.004308,0.005668,0.00,0.004308,0.009822,0.000099
65,0.004103,0.007914,0.00,0.004103,0.013813,0.000080
66,0.004231,0.007226,0.00,0.004231,0.016197,0.000105
67,0.004220,0.007957,0.00,0.004220,0.019942,0.000115
68,0.004101,0.007446,0.00,0.004101,0.013293,0.000142
69,0.003980,0.006682,0.00,0.003980,0.015291,0.000194
70,0.003991,0.006091,0.00,0.003991,0.028524,0.000133
71,0.004077,0.006399,0.00,0.004077,0.030527,0.000125
72,0.004084,0.006930,0.00,0.004084,0.022080,0.000111
73,0.004008,0.011204,0.00,0.004008,0.039324,0.000089
74,0.003913,0.008365,0.00,0.003913,0.019557,0.000113
75,0.003950,0.007733,0.00,0.003950,0.018494,0.000097
76,0.003902,0.006667,0.00,0.003902,0.015219,0.000185
77,0.003804,0.008547,0.00,0.003804,0.016813,0.000113
78,0.003822,0.008201,0.00,0.003822,0.021823,0.000102
79,0.003796,0.008068,0.00,0.003796,0.014797,0.000153
