epoch,train_loss,val_loss,fused_loss,seg_loss,rec_loss
1,0.004046,0.000015,0.000296,0.000884,0.018460
2,0.000059,0.000020,0.000015,0.000026,0.000221
3,0.000032,0.000008,0.000013,0.000017,0.000104
4,0.000024,0.000007,0.000010,0.000013,0.000073
5,0.000019,0.000008,0.000008,0.000011,0.000059
6,0.000018,0.000007,0.000008,0.000010,0.000057
7,0.000016,0.000006,0.000007,0.000008,0.000050
8,0.000015,0.000006,0.000007,0.000008,0.000050
9,0.000014,0.000006,0.000006,0.000007,0.000047
10,0.000014,0.000006,0.000006,0.000007,0.000045
11,0.000014,0.000005,0.000006,0.000007,0.000045
12,0.000013,0.000005,0.000005,0.000006,0.000041
13,0.000013,0.000005,0.000005,0.000006,0.000042
14,0.000013,0.000006,0.000005,0.000006,0.000041
15,0.000012,0.000006,0.000005,0.000006,0.000038
16,0.000012,0.000005,0.000005,0.000006,0.000039
17,0.000012,0.000006,0.000005,0.000006,0.000039
18,0.000011,0.000005,0.000005,0.000006,0.000037
19,0.000011,0.000005,0.000005,0.000006,0.000037
20,0.000011,0.000005,0.000005,0.000006,0.000036
21,0.000011,0.000005,0.000005,0.000006,0.000036
22,0.000011,0.000005,0.000005,0.000006,0.000035
23,0.000011,0.000005,0.000004,0.000005,0.000035
24,0.000010,0.000009,0.000004,0.000005,0.000034
25,0.000010,0.000005,0.000004,0.000005,0.000034
26,0.000011,0.000006,0.000004,0.000005,0.000034
27,0.000010,0.000004,0.000004,0.000005,0.000033
28,0.000010,0.000006,0.000004,0.000005,0.000033
29,0.000010,0.000007,0.000004,0.000005,0.000034
30,0.000010,0.000005,0.000004,0.000005,0.000032
31,0.000010,0.000010,0.000004,0.000005,0.000031
32,0.000010,0.000004,0.000004,0.000005,0.000032
33,0.000009,0.000006,0.000004,0.000005,0.000031
34,0.000010,0.000004,0.000004,0.000005,0.000031
35,0.000009,0.000005,0.000004,0.000005,0.000030
36,0.000009,0.000004,0.000004,0.000005,0.000030
37,0.000009,0.000004,0.000004,0.000005,0.000029
38,0.000009,0.000005,0.000004,0.000005,0.000030
39,0.000009,0.000004,0.000004,0.000005,0.000028
40,0.000009,0.000004,0.000004,0.000005,0.000028
41,0.000009,0.000008,0.000004,0.000005,0.000028
42,0.000009,0.000004,0.000004,0.000005,0.000028
43,0.000008,0.000004,0.000003,0.000005,0.000026
44,0.000008,0.000010,0.000003,0.000005,0.000027
45,0.000008,0.000005,0.000003,0.000005,0.000027
46,0.000008,0.000005,0.000003,0.000005,0.000027
47,0.000008,0.000004,0.000003,0.000005,0.000026
48,0.000008,0.000004,0.000003,0.000005,0.000026
49,0.000008,0.000005,0.000003,0.000004,0.000025
50,0.000008,0.000004,0.000003,0.000004,0.000026
51,0.000008,0.000004,0.000003,0.000004,0.000025
52,0.000008,0.000005,0.000003,0.000005,0.000026
53,0.000008,0.000004,0.000003,0.000004,0.000025
54,0.000008,0.000005,0.000003,0.000004,0.000025
55,0.000008,0.000006,0.000003,0.000004,0.000025
56,0.000008,0.000005,0.000003,0.000004,0.000025
57,0.000008,0.000004,0.000003,0.000004,0.000024
58,0.000007,0.000005,0.000003,0.000004,0.000024
59,0.000007,0.000005,0.000003,0.000004,0.000024
60,0.000007,0.000005,0.000003,0.000004,0.000023
