epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.154649,0.126470,1.00,0.060148,0.061027,0.033473
1,0.089172,0.062271,1.00,0.028108,0.057969,0.003094
2,0.035393,0.018168,1.00,0.009291,0.025303,0.000799
3,0.018541,0.015519,1.00,0.008276,0.009756,0.000509
4,0.016171,0.014831,1.00,0.007507,0.008314,0.000350
5,0.015132,0.013273,1.00,0.007122,0.007759,0.000252
6,0.014358,0.013461,1.00,0.006825,0.007346,0.000187
7,0.014093,0.013098,1.00,0.006759,0.007189,0.000145
8,0.013432,0.012089,1.00,0.006439,0.006882,0.000111
9,0.013314,0.012010,1.00,0.006396,0.006825,0.000093
10,0.012731,0.012496,1.00,0.006117,0.006541,0.000073
11,0.012499,0.011368,1.00,0.006003,0.006435,0.000061
12,0.012389,0.011330,1.00,0.005956,0.006382,0.000052
13,0.011946,0.011565,1.00,0.005748,0.006150,0.000047
14,0.011661,0.010749,1.00,0.005594,0.006027,0.000040
15,0.011554,0.010725,1.00,0.005543,0.005977,0.000035
16,0.011101,0.010531,1.00,0.005315,0.005756,0.000030
17,0.010890,0.010865,1.00,0.005209,0.005653,0.000028
18,0.010574,0.010678,1.00,0.005047,0.005499,0.000028
19,0.010749,0.010986,1.00,0.005132,0.005593,0.000025
20,0.007472,0.007757,0.50,0.004825,0.005272,0.000023
21,0.007407,0.008671,0.50,0.004762,0.005267,0.000023
22,0.007352,0.007649,0.50,0.004725,0.005233,0.000022
23,0.007255,0.008142,0.50,0.004657,0.005176,0.000021
24,0.007133,0.008191,0.50,0.004560,0.005127,0.000020
25,0.007158,0.009694,0.50,0.004575,0.005147,0.000019
26,0.007035,0.008646,0.50,0.004495,0.005062,0.000017
27,0.007157,0.007843,0.50,0.004583,0.005129,0.000018
28,0.006819,0.007842,0.50,0.004357,0.004907,0.000017
29,0.006796,0.007488,0.50,0.004331,0.004913,0.000016
30,0.006807,0.008390,0.50,0.004346,0.004907,0.000016
31,0.006626,0.007429,0.50,0.004214,0.004808,0.000016
32,0.006627,0.007463,0.50,0.004218,0.004803,0.000016
33,0.006516,0.008318,0.50,0.004142,0.004733,0.000015
34,0.006473,0.008629,0.50,0.004116,0.004699,0.000014
35,0.006549,0.007869,0.50,0.004161,0.004761,0.000014
36,0.006328,0.008045,0.50,0.004021,0.004601,0.000014
37,0.006269,0.007614,0.50,0.003975,0.004575,0.000014
38,0.006151,0.007946,0.50,0.003892,0.004503,0.000014
39,0.006110,0.008384,0.50,0.003874,0.004458,0.000014
40,0.003653,0.005267,0.00,0.003653,0.004339,0.000014
41,0.003628,0.005191,0.00,0.003628,0.006412,0.000014
42,0.003654,0.005553,0.00,0.003654,0.004995,0.000016
43,0.003574,0.005123,0.00,0.003574,0.004837,0.000021
44,0.003668,0.005398,0.00,0.003668,0.004743,0.000027
45,0.003631,0.005445,0.00,0.003631,0.004992,0.000027
46,0.003580,0.005488,0.00,0.003580,0.005311,0.000042
47,0.003528,0.005339,0.00,0.003528,0.005166,0.000046
48,0.003632,0.005578,0.00,0.003632,0.005224,0.000042
49,0.003526,0.005592,0.00,0.003526,0.005153,0.000045
