epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.155297,0.130920,1.00,0.060623,0.061135,0.033538
1,0.107251,0.074324,1.00,0.043560,0.059700,0.003990
2,0.059871,0.030133,1.00,0.014553,0.044758,0.000559
3,0.028142,0.022972,1.00,0.012754,0.014946,0.000442
4,0.023780,0.022926,1.00,0.011233,0.012221,0.000325
5,0.022196,0.020138,1.00,0.010606,0.011348,0.000242
6,0.021127,0.019940,1.00,0.010152,0.010791,0.000185
7,0.020367,0.018253,1.00,0.009827,0.010391,0.000149
8,0.019600,0.018303,1.00,0.009452,0.010032,0.000117
9,0.019043,0.017887,1.00,0.009204,0.009741,0.000097
10,0.018441,0.018752,1.00,0.008921,0.009437,0.000083
11,0.018081,0.017974,1.00,0.008741,0.009271,0.000070
12,0.018230,0.017097,1.00,0.008822,0.009343,0.000065
13,0.016991,0.015956,1.00,0.008197,0.008744,0.000050
14,0.017004,0.015847,1.00,0.008220,0.008739,0.000045
15,0.016676,0.015895,1.00,0.008050,0.008586,0.000039
16,0.016177,0.016117,1.00,0.007794,0.008348,0.000035
17,0.015939,0.015866,1.00,0.007682,0.008228,0.000030
18,0.015711,0.016629,1.00,0.007568,0.008115,0.000028
19,0.015577,0.015958,1.00,0.007495,0.008055,0.000027
20,0.010911,0.011893,0.50,0.007082,0.007635,0.000025
21,0.010858,0.012440,0.50,0.007024,0.007644,0.000024
22,0.010797,0.012385,0.50,0.006987,0.007596,0.000024
23,0.010543,0.012125,0.50,0.006800,0.007463,0.000023
24,0.010364,0.012230,0.50,0.006676,0.007353,0.000022
25,0.010319,0.012626,0.50,0.006657,0.007302,0.000022
26,0.010252,0.012443,0.50,0.006595,0.007295,0.000020
27,0.010200,0.011740,0.50,0.006567,0.007246,0.000021
28,0.009943,0.012468,0.50,0.006390,0.007086,0.000020
29,0.009862,0.012324,0.50,0.006320,0.007065,0.000019
30,0.009706,0.011609,0.50,0.006215,0.006962,0.000018
31,0.009398,0.011947,0.50,0.005992,0.006796,0.000017
32,0.009479,0.011381,0.50,0.006055,0.006832,0.000016
33,0.009325,0.012567,0.50,0.005949,0.006738,0.000016
34,0.009083,0.013462,0.50,0.005777,0.006596,0.000016
35,0.009140,0.011845,0.50,0.005828,0.006606,0.000016
36,0.008813,0.012474,0.50,0.005599,0.006414,0.000015
37,0.008712,0.011718,0.50,0.005531,0.006348,0.000015
38,0.008732,0.011857,0.50,0.005540,0.006371,0.000014
39,0.008498,0.013909,0.50,0.005388,0.006206,0.000014
40,0.005167,0.007649,0.00,0.005167,0.006082,0.000032
41,0.005018,0.008233,0.00,0.005018,0.006160,0.000022
42,0.005031,0.008233,0.00,0.005031,0.006354,0.000029
43,0.004945,0.008065,0.00,0.004945,0.006453,0.000034
44,0.005046,0.008148,0.00,0.005046,0.006530,0.000049
45,0.004897,0.008303,0.00,0.004897,0.006670,0.000054
46,0.004808,0.008104,0.00,0.004808,0.006663,0.000038
47,0.004814,0.008492,0.00,0.004814,0.007084,0.000047
48,0.004767,0.009150,0.00,0.004767,0.007187,0.000039
49,0.004699,0.008681,0.00,0.004699,0.007056,0.000044
