epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.205475,0.077901,1.00,0.073807,0.096459,0.035208
1,0.033632,0.021708,1.00,0.011587,0.020251,0.001794
2,0.021739,0.020421,1.00,0.009982,0.011055,0.000702
3,0.019525,0.021832,1.00,0.009272,0.009916,0.000337
4,0.018485,0.016309,1.00,0.008856,0.009441,0.000187
5,0.017430,0.015001,1.00,0.008385,0.008930,0.000115
6,0.016881,0.014848,1.00,0.008128,0.008672,0.000081
7,0.016458,0.013801,1.00,0.007925,0.008476,0.000057
8,0.015736,0.016254,1.00,0.007569,0.008126,0.000041
9,0.015427,0.013412,1.00,0.007403,0.007991,0.000034
10,0.015185,0.013802,1.00,0.007302,0.007853,0.000029
11,0.014841,0.014237,1.00,0.007128,0.007689,0.000024
12,0.014325,0.014870,1.00,0.006871,0.007434,0.000021
13,0.013987,0.017781,1.00,0.006711,0.007257,0.000019
14,0.013846,0.012370,1.00,0.006644,0.007185,0.000017
15,0.013526,0.012341,1.00,0.006472,0.007038,0.000016
16,0.013261,0.012942,1.00,0.006342,0.006904,0.000015
17,0.013241,0.011750,1.00,0.006353,0.006874,0.000014
18,0.013092,0.011872,1.00,0.006294,0.006783,0.000015
19,0.013008,0.011693,1.00,0.006226,0.006769,0.000013
20,0.009173,0.008497,0.50,0.005930,0.006471,0.000014
21,0.009274,0.009371,0.50,0.005991,0.006553,0.000013
22,0.009150,0.009491,0.50,0.005905,0.006477,0.000014
23,0.009108,0.008516,0.50,0.005875,0.006452,0.000014
24,0.009110,0.008825,0.50,0.005880,0.006447,0.000014
25,0.008809,0.008330,0.50,0.005672,0.006263,0.000012
26,0.008880,0.009496,0.50,0.005714,0.006319,0.000013
27,0.008682,0.008654,0.50,0.005576,0.006198,0.000013
28,0.008615,0.009100,0.50,0.005544,0.006131,0.000013
29,0.008600,0.009788,0.50,0.005521,0.006145,0.000012
30,0.008625,0.008133,0.50,0.005545,0.006146,0.000015
31,0.008383,0.008627,0.50,0.005379,0.005996,0.000012
32,0.008358,0.009021,0.50,0.005371,0.005961,0.000012
33,0.008236,0.008249,0.50,0.005277,0.005906,0.000012
34,0.008160,0.008148,0.50,0.005230,0.005849,0.000011
35,0.008107,0.008818,0.50,0.005185,0.005833,0.000012
36,0.008026,0.008260,0.50,0.005141,0.005757,0.000011
37,0.007859,0.008094,0.50,0.005028,0.005651,0.000011
38,0.007814,0.008093,0.50,0.004996,0.005624,0.000011
39,0.007822,0.007921,0.50,0.005000,0.005633,0.000012
40,0.004825,0.005411,0.00,0.004825,0.005619,0.000016
41,0.004784,0.005025,0.00,0.004784,0.005659,0.000036
42,0.004733,0.005175,0.00,0.004733,0.005727,0.000019
43,0.004767,0.005352,0.00,0.004767,0.005831,0.000018
44,0.004839,0.005500,0.00,0.004839,0.006063,0.000025
45,0.004777,0.005242,0.00,0.004777,0.006040,0.000032
46,0.004731,0.005427,0.00,0.004731,0.006015,0.000036
47,0.004635,0.005254,0.00,0.004635,0.006007,0.000040
48,0.004650,0.005359,0.00,0.004650,0.006214,0.000050
49,0.004571,0.005427,0.00,0.004571,0.006176,0.000043
50,0.004505,0.005368,0.00,0.004505,0.006286,0.000071
51,0.004477,0.006066,0.00,0.004477,0.006214,0.000073
52,0.004425,0.005221,0.00,0.004425,0.006302,0.000061
53,0.004410,0.005575,0.00,0.004410,0.006360,0.000065
54,0.004409,0.005229,0.00,0.004409,0.006836,0.000113
55,0.004386,0.005632,0.00,0.004386,0.006632,0.000104
56,0.004233,0.005441,0.00,0.004233,0.006642,0.000085
57,0.004226,0.006283,0.00,0.004226,0.006793,0.000077
58,0.004201,0.005447,0.00,0.004201,0.006845,0.000115
59,0.004200,0.005478,0.00,0.004200,0.006831,0.000113
60,0.004158,0.006369,0.00,0.004158,0.007353,0.000118
61,0.004105,0.006222,0.00,0.004105,0.007438,0.000102
62,0.004056,0.005905,0.00,0.004056,0.007134,0.000093
63,0.004062,0.005902,0.00,0.004062,0.007484,0.000062
64,0.004037,0.005652,0.00,0.004037,0.008889,0.000058
65,0.003946,0.006510,0.00,0.003946,0.009364,0.000078
66,0.004074,0.005580,0.00,0.004074,0.008900,0.000108
67,0.003949,0.006265,0.00,0.003949,0.009506,0.000160
68,0.003918,0.005917,0.00,0.003918,0.017418,0.000143
69,0.003918,0.006906,0.00,0.003918,0.013183,0.000069
70,0.003901,0.005424,0.00,0.003901,0.010966,0.000086
71,0.003828,0.006651,0.00,0.003828,0.012002,0.000166
72,0.003826,0.006917,0.00,0.003826,0.014478,0.000103
73,0.003780,0.007388,0.00,0.003780,0.015201,0.000088
74,0.003825,0.006885,0.00,0.003825,0.011813,0.000065
75,0.003746,0.006979,0.00,0.003746,0.014053,0.000065
76,0.003671,0.006211,0.00,0.003671,0.015215,0.000066
77,0.003695,0.008090,0.00,0.003695,0.010443,0.000096
78,0.003706,0.009741,0.00,0.003706,0.011541,0.000091
79,0.003727,0.008902,0.00,0.003727,0.012928,0.000087
