epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.270713,0.222831,1.00,0.117886,0.120249,0.032579
1,0.101945,0.036733,1.00,0.025805,0.073840,0.002300
2,0.031336,0.025244,1.00,0.013434,0.016924,0.000977
3,0.027032,0.023658,1.00,0.012502,0.013931,0.000599
4,0.024495,0.023754,1.00,0.011549,0.012553,0.000393
5,0.023097,0.021729,1.00,0.010988,0.011838,0.000271
6,0.022585,0.020401,1.00,0.010810,0.011582,0.000193
7,0.022094,0.019702,1.00,0.010609,0.011327,0.000158
8,0.020992,0.019050,1.00,0.010055,0.010820,0.000117
9,0.020436,0.018320,1.00,0.009803,0.010546,0.000086
10,0.019911,0.018667,1.00,0.009558,0.010287,0.000066
11,0.019507,0.018889,1.00,0.009374,0.010079,0.000053
12,0.019562,0.018790,1.00,0.009420,0.010098,0.000044
13,0.018418,0.017833,1.00,0.008834,0.009547,0.000037
14,0.018518,0.017307,1.00,0.008910,0.009577,0.000032
15,0.018116,0.016528,1.00,0.008698,0.009390,0.000029
16,0.017783,0.016091,1.00,0.008544,0.009215,0.000024
17,0.017755,0.016505,1.00,0.008547,0.009183,0.000025
18,0.017380,0.016652,1.00,0.008330,0.009031,0.000019
19,0.016876,0.016666,1.00,0.008082,0.008775,0.000018
20,0.011962,0.012124,0.50,0.007734,0.008437,0.000019
21,0.012135,0.012017,0.50,0.007839,0.008572,0.000020
22,0.011948,0.012398,0.50,0.007698,0.008483,0.000018
23,0.011796,0.012314,0.50,0.007599,0.008377,0.000017
24,0.011723,0.012909,0.50,0.007543,0.008344,0.000017
25,0.011364,0.011602,0.50,0.007307,0.008098,0.000016
26,0.011462,0.011773,0.50,0.007356,0.008196,0.000015
27,0.011334,0.011456,0.50,0.007272,0.008110,0.000014
28,0.011073,0.011636,0.50,0.007098,0.007936,0.000014
29,0.010864,0.011496,0.50,0.006946,0.007823,0.000013
30,0.010935,0.011592,0.50,0.007007,0.007843,0.000014
31,0.010710,0.011131,0.50,0.006833,0.007742,0.000012
32,0.010693,0.011469,0.50,0.006830,0.007715,0.000012
33,0.010455,0.011625,0.50,0.006669,0.007560,0.000012
34,0.010447,0.012079,0.50,0.006670,0.007544,0.000012
35,0.010280,0.011525,0.50,0.006560,0.007429,0.000012
36,0.010106,0.011206,0.50,0.006440,0.007321,0.000011
37,0.010043,0.011365,0.50,0.006385,0.007305,0.000011
38,0.009657,0.010947,0.50,0.006121,0.007061,0.000011
39,0.009819,0.014382,0.50,0.006232,0.007164,0.000011
40,0.005828,0.007298,0.00,0.005828,0.006958,0.000014
41,0.005863,0.007259,0.00,0.005863,0.007245,0.000017
42,0.005713,0.007100,0.00,0.005713,0.007167,0.000016
43,0.005738,0.007528,0.00,0.005738,0.007317,0.000019
44,0.005627,0.007362,0.00,0.005627,0.007465,0.000017
45,0.005677,0.007148,0.00,0.005677,0.007504,0.000019
46,0.005537,0.007543,0.00,0.005537,0.007501,0.000023
47,0.005575,0.007617,0.00,0.005575,0.007755,0.000029
48,0.005422,0.007657,0.00,0.005422,0.007739,0.000030
49,0.005443,0.007381,0.00,0.005443,0.007773,0.000043
50,0.005210,0.007714,0.00,0.005210,0.007944,0.000043
51,0.005176,0.007672,0.00,0.005176,0.007793,0.000033
52,0.005068,0.008100,0.00,0.005068,0.008155,0.000064
53,0.005051,0.007653,0.00,0.005051,0.007990,0.000055
54,0.005098,0.007708,0.00,0.005098,0.008069,0.000069
55,0.004980,0.008380,0.00,0.004980,0.008110,0.000065
56,0.004784,0.008368,0.00,0.004784,0.008881,0.000048
57,0.004843,0.007882,0.00,0.004843,0.009425,0.000056
58,0.004699,0.008592,0.00,0.004699,0.009207,0.000052
59,0.004621,0.008380,0.00,0.004621,0.009336,0.000045
60,0.004601,0.008499,0.00,0.004601,0.008956,0.000050
61,0.004542,0.008228,0.00,0.004542,0.010412,0.000042
62,0.004589,0.009129,0.00,0.004589,0.010371,0.000043
63,0.004420,0.010600,0.00,0.004420,0.010439,0.000054
64,0.004329,0.010873,0.00,0.004329,0.011448,0.000063
65,0.004212,0.010743,0.00,0.004212,0.012285,0.000084
66,0.004277,0.010347,0.00,0.004277,0.011737,0.000065
67,0.004327,0.011931,0.00,0.004327,0.014657,0.000056
68,0.004167,0.011167,0.00,0.004167,0.013810,0.000063
69,0.004160,0.014199,0.00,0.004160,0.016445,0.000074
70,0.004097,0.012004,0.00,0.004097,0.016690,0.000050
71,0.004017,0.012957,0.00,0.004017,0.020566,0.000047
72,0.004071,0.012271,0.00,0.004071,0.019181,0.000044
73,0.004047,0.015162,0.00,0.004047,0.020693,0.000053
74,0.003911,0.012869,0.00,0.003911,0.018039,0.000064
75,0.003886,0.015632,0.00,0.003886,0.019537,0.000068
76,0.003829,0.012519,0.00,0.003829,0.021867,0.000068
77,0.003736,0.014868,0.00,0.003736,0.027406,0.000055
78,0.003732,0.016593,0.00,0.003732,0.026400,0.000043
79,0.003707,0.013253,0.00,0.003707,0.026849,0.000046
