epoch,train_loss,val_loss,aux_w,fused_loss,seg_loss,rec_loss
0,0.151270,0.112148,1.00,0.058250,0.060426,0.032594
1,0.054691,0.018599,1.00,0.012502,0.039071,0.003118
2,0.014995,0.011356,1.00,0.005762,0.008103,0.001129
3,0.012052,0.010079,1.00,0.005290,0.006149,0.000613
4,0.010624,0.010244,1.00,0.004870,0.005391,0.000363
5,0.009993,0.008766,1.00,0.004691,0.005078,0.000223
6,0.009560,0.008344,1.00,0.004530,0.004875,0.000155
7,0.009233,0.007799,1.00,0.004407,0.004716,0.000110
8,0.008724,0.007974,1.00,0.004172,0.004472,0.000080
9,0.008666,0.008711,1.00,0.004154,0.004451,0.000061
10,0.008440,0.007340,1.00,0.004041,0.004352,0.000048
11,0.008174,0.007643,1.00,0.003917,0.004219,0.000038
12,0.008160,0.007096,1.00,0.003915,0.004213,0.000032
13,0.007786,0.007947,1.00,0.003733,0.004027,0.000026
14,0.007787,0.006879,1.00,0.003742,0.004023,0.000022
15,0.007627,0.006746,1.00,0.003643,0.003966,0.000019
16,0.007562,0.007103,1.00,0.003627,0.003918,0.000017
17,0.007429,0.006739,1.00,0.003567,0.003847,0.000014
18,0.007282,0.006700,1.00,0.003493,0.003775,0.000014
19,0.007122,0.006924,1.00,0.003412,0.003697,0.000012
20,0.005196,0.005246,0.50,0.003370,0.003638,0.000013
21,0.005120,0.004999,0.50,0.003314,0.003600,0.000012
22,0.005051,0.004968,0.50,0.003261,0.003569,0.000012
23,0.005008,0.005141,0.50,0.003236,0.003533,0.000011
24,0.005083,0.005094,0.50,0.003283,0.003588,0.000011
25,0.004903,0.004894,0.50,0.003158,0.003480,0.000011
26,0.004934,0.005379,0.50,0.003178,0.003503,0.000011
27,0.004913,0.004887,0.50,0.003164,0.003490,0.000009
28,0.004823,0.005030,0.50,0.003106,0.003425,0.000009
29,0.004814,0.004665,0.50,0.003095,0.003427,0.000010
30,0.004725,0.004595,0.50,0.003039,0.003364,0.000009
31,0.004713,0.004546,0.50,0.003031,0.003356,0.000009
32,0.004677,0.004526,0.50,0.003003,0.003339,0.000009
33,0.004592,0.004472,0.50,0.002948,0.003280,0.000008
34,0.004577,0.005506,0.50,0.002935,0.003275,0.000009
35,0.004503,0.004985,0.50,0.002887,0.003224,0.000008
36,0.004598,0.004662,0.50,0.002949,0.003289,0.000008
37,0.004487,0.004697,0.50,0.002880,0.003207,0.000008
38,0.004380,0.004633,0.50,0.002806,0.003139,0.000008
39,0.004340,0.004762,0.50,0.002779,0.003116,0.000007
40,0.002721,0.002906,0.00,0.002721,0.003110,0.000009
41,0.002749,0.003124,0.00,0.002749,0.003183,0.000011
42,0.002715,0.002877,0.00,0.002715,0.003259,0.000019
43,0.002690,0.002976,0.00,0.002690,0.003254,0.000023
44,0.002705,0.002875,0.00,0.002705,0.003363,0.000031
45,0.002723,0.002907,0.00,0.002723,0.003394,0.000022
46,0.002617,0.003297,0.00,0.002617,0.003343,0.000025
47,0.002649,0.003146,0.00,0.002649,0.003399,0.000028
48,0.002677,0.002941,0.00,0.002677,0.003478,0.000038
49,0.002581,0.002852,0.00,0.002581,0.003402,0.000059
50,0.002572,0.002878,0.00,0.002572,0.003495,0.000066
51,0.002587,0.002824,0.00,0.002587,0.003512,0.000176
52,0.002589,0.003042,0.00,0.002589,0.003704,0.000194
53,0.002542,0.003189,0.00,0.002542,0.003601,0.000154
54,0.002507,0.002908,0.00,0.002507,0.003567,0.000199
55,0.002500,0.002941,0.00,0.002500,0.003651,0.000065
56,0.002473,0.002828,0.00,0.002473,0.003731,0.000113
57,0.002429,0.003161,0.00,0.002429,0.003716,0.000165
58,0.002470,0.002794,0.00,0.002470,0.003910,0.000206
59,0.002401,0.003078,0.00,0.002401,0.004083,0.000254
60,0.002421,0.002930,0.00,0.002421,0.003959,0.000279
61,0.002418,0.003594,0.00,0.002418,0.003835,0.000176
62,0.002326,0.003444,0.00,0.002326,0.004050,0.000316
63,0.002332,0.002887,0.00,0.002332,0.003941,0.000263
64,0.002336,0.002983,0.00,0.002336,0.004010,0.000281
65,0.002275,0.003356,0.00,0.002275,0.004149,0.000451
66,0.002328,0.003222,0.00,0.002328,0.004757,0.000514
67,0.002254,0.003091,0.00,0.002254,0.004118,0.000265
68,0.002216,0.002887,0.00,0.002216,0.004063,0.000264
69,0.002206,0.003193,0.00,0.002206,0.004022,0.000405
70,0.002201,0.002946,0.00,0.002201,0.003967,0.000256
71,0.002238,0.003116,0.00,0.002238,0.003989,0.000250
72,0.002272,0.003808,0.00,0.002272,0.004764,0.000478
73,0.002189,0.004043,0.00,0.002189,0.004651,0.000376
74,0.002194,0.003136,0.00,0.002194,0.005400,0.000434
75,0.002175,0.003501,0.00,0.002175,0.004753,0.000413
76,0.002137,0.003276,0.00,0.002137,0.004490,0.000493
77,0.002115,0.003205,0.00,0.002115,0.004679,0.000320
78,0.002077,0.003645,0.00,0.002077,0.005289,0.000270
79,0.002155,0.003452,0.00,0.002155,0.004981,0.000365
