epoch,train_loss,val_loss,fused_loss,seg_loss,rec_loss
1,0.005108,0.000025,0.000813,0.003191,0.019908
2,0.000077,0.000024,0.000025,0.000065,0.000248
3,0.000041,0.000014,0.000021,0.000031,0.000109
4,0.000031,0.000016,0.000018,0.000024,0.000076
5,0.000026,0.000015,0.000016,0.000021,0.000063
6,0.000024,0.000014,0.000015,0.000018,0.000058
7,0.000021,0.000011,0.000013,0.000016,0.000050
8,0.000021,0.000011,0.000013,0.000015,0.000050
9,0.000020,0.000012,0.000012,0.000014,0.000048
10,0.000019,0.000013,0.000011,0.000013,0.000046
11,0.000018,0.000010,0.000011,0.000013,0.000044
12,0.000017,0.000010,0.000011,0.000012,0.000042
13,0.000017,0.000011,0.000010,0.000012,0.000042
14,0.000017,0.000011,0.000010,0.000012,0.000042
15,0.000016,0.000010,0.000010,0.000011,0.000038
16,0.000016,0.000009,0.000009,0.000011,0.000038
17,0.000016,0.000011,0.000009,0.000011,0.000039
18,0.000015,0.000009,0.000009,0.000011,0.000037
19,0.000015,0.000009,0.000009,0.000010,0.000037
20,0.000015,0.000010,0.000009,0.000010,0.000037
21,0.000014,0.000009,0.000009,0.000010,0.000036
22,0.000014,0.000011,0.000009,0.000010,0.000035
23,0.000014,0.000010,0.000008,0.000010,0.000034
24,0.000014,0.000013,0.000008,0.000010,0.000034
25,0.000013,0.000009,0.000008,0.000009,0.000032
26,0.000013,0.000011,0.000008,0.000009,0.000032
27,0.000013,0.000009,0.000008,0.000009,0.000031
28,0.000013,0.000014,0.000008,0.000009,0.000032
29,0.000013,0.000017,0.000008,0.000009,0.000031
30,0.000012,0.000012,0.000007,0.000009,0.000030
31,0.000012,0.000015,0.000007,0.000009,0.000029
32,0.000012,0.000008,0.000007,0.000009,0.000029
33,0.000011,0.000011,0.000007,0.000008,0.000028
34,0.000011,0.000008,0.000007,0.000008,0.000028
35,0.000011,0.000009,0.000007,0.000008,0.000028
36,0.000011,0.000008,0.000007,0.000008,0.000028
37,0.000011,0.000008,0.000007,0.000008,0.000027
38,0.000011,0.000009,0.000007,0.000008,0.000028
39,0.000011,0.000009,0.000006,0.000008,0.000027
40,0.000011,0.000008,0.000006,0.000008,0.000026
41,0.000011,0.000016,0.000006,0.000008,0.000026
42,0.000011,0.000009,0.000006,0.000008,0.000026
43,0.000010,0.000009,0.000006,0.000008,0.000025
44,0.000010,0.000011,0.000006,0.000008,0.000026
45,0.000010,0.000009,0.000006,0.000008,0.000025
46,0.000010,0.000010,0.000006,0.000008,0.000025
47,0.000010,0.000009,0.000006,0.000008,0.000024
48,0.000010,0.000009,0.000006,0.000008,0.000024
49,0.000010,0.000012,0.000006,0.000007,0.000024
50,0.000010,0.000008,0.000006,0.000007,0.000024
51,0.000009,0.000010,0.000005,0.000007,0.000023
52,0.000009,0.000009,0.000005,0.000007,0.000023
53,0.000009,0.000008,0.000005,0.000007,0.000023
54,0.000009,0.000011,0.000005,0.000007,0.000023
55,0.000009,0.000012,0.000005,0.000007,0.000022
56,0.000009,0.000011,0.000005,0.000007,0.000023
57,0.000009,0.000008,0.000005,0.000007,0.000022
58,0.000008,0.000014,0.000005,0.000007,0.000021
59,0.000009,0.000009,0.000005,0.000007,0.000021
60,0.000008,0.000010,0.000005,0.000007,0.000021
