epoch,train_loss,val_loss,fused_loss,seg_loss,rec_loss
1,0.004847,0.000023,0.000782,0.002920,0.018969
2,0.000172,0.000009,0.000015,0.000150,0.000667
3,0.000063,0.000008,0.000010,0.000054,0.000229
4,0.000034,0.000007,0.000008,0.000029,0.000116
5,0.000023,0.000007,0.000007,0.000019,0.000072
6,0.000017,0.000008,0.000007,0.000014,0.000050
7,0.000014,0.000006,0.000006,0.000011,0.000039
8,0.000012,0.000005,0.000006,0.000011,0.000032
9,0.000011,0.000006,0.000006,0.000008,0.000027
10,0.000010,0.000005,0.000006,0.000008,0.000025
11,0.000009,0.000005,0.000006,0.000007,0.000022
12,0.000008,0.000005,0.000005,0.000007,0.000020
13,0.000008,0.000005,0.000005,0.000007,0.000019
14,0.000008,0.000006,0.000005,0.000007,0.000019
15,0.000007,0.000005,0.000005,0.000006,0.000017
16,0.000007,0.000004,0.000004,0.000006,0.000016
17,0.000007,0.000004,0.000004,0.000005,0.000016
18,0.000006,0.000005,0.000004,0.000005,0.000015
19,0.000006,0.000004,0.000004,0.000005,0.000015
20,0.000006,0.000004,0.000004,0.000005,0.000014
21,0.000006,0.000004,0.000004,0.000005,0.000014
22,0.000006,0.000003,0.000004,0.000004,0.000014
23,0.000006,0.000004,0.000004,0.000004,0.000014
24,0.000006,0.000004,0.000004,0.000004,0.000013
25,0.000006,0.000003,0.000003,0.000004,0.000013
26,0.000005,0.000003,0.000003,0.000004,0.000013
27,0.000005,0.000003,0.000003,0.000004,0.000013
28,0.000005,0.000004,0.000003,0.000004,0.000013
29,0.000005,0.000004,0.000003,0.000004,0.000012
30,0.000005,0.000003,0.000003,0.000004,0.000012
31,0.000005,0.000003,0.000003,0.000004,0.000012
32,0.000005,0.000004,0.000003,0.000004,0.000012
33,0.000005,0.000005,0.000003,0.000004,0.000013
34,0.000005,0.000004,0.000003,0.000004,0.000012
35,0.000005,0.000003,0.000003,0.000004,0.000011
36,0.000005,0.000003,0.000003,0.000003,0.000011
37,0.000005,0.000003,0.000003,0.000003,0.000011
38,0.000005,0.000003,0.000003,0.000003,0.000011
39,0.000005,0.000003,0.000003,0.000003,0.000011
40,0.000005,0.000003,0.000003,0.000003,0.000011
41,0.000005,0.000003,0.000003,0.000003,0.000011
42,0.000004,0.000004,0.000003,0.000003,0.000010
43,0.000004,0.000003,0.000003,0.000003,0.000011
44,0.000004,0.000003,0.000003,0.000003,0.000011
45,0.000004,0.000004,0.000003,0.000003,0.000010
46,0.000004,0.000003,0.000003,0.000003,0.000010
47,0.000004,0.000003,0.000003,0.000003,0.000010
48,0.000004,0.000003,0.000003,0.000003,0.000010
49,0.000004,0.000003,0.000003,0.000003,0.000010
50,0.000004,0.000003,0.000003,0.000003,0.000010
51,0.000004,0.000003,0.000002,0.000003,0.000010
52,0.000004,0.000003,0.000003,0.000003,0.000010
53,0.000004,0.000003,0.000002,0.000003,0.000010
54,0.000004,0.000003,0.000002,0.000003,0.000010
55,0.000004,0.000003,0.000002,0.000003,0.000010
56,0.000004,0.000003,0.000002,0.000003,0.000010
57,0.000004,0.000004,0.000002,0.000003,0.000010
58,0.000004,0.000004,0.000002,0.000003,0.000009
59,0.000004,0.000004,0.000002,0.000003,0.000009
60,0.000004,0.000003,0.000002,0.000003,0.000010
